Item,Source,Type,Subtype,Subtype2,Proficiency,Shop-Type,Availability,Primary-Materials,Secondary-Materials,Add-On-Materials,lbs,Mat-Base-Price,Material-Cost,Labor-Cost,Resale- Value-Low,Resale-Value-High,Resale-Value-Normal,Cost-Low,Cost-High,Total-Cost,Text
"Barding, Ring Mail",PHB,Tack-and-Harness,Armor,,Smiths-Tools,Blacksmith,City-Access,Metal,,Dye,80.00,9.60,76.80,19.20,28.80,57.60,38.40,96.00,168.00,120.00,"This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and its usually worn only by those who cant afford better armor."
"Barding, Scale Mail",PHB,Tack-and-Harness,Armor,,Smiths-Tools,Blacksmith,City-Access,Metal,,Dye,90.00,16.00,128.00,32.00,48.00,96.00,64.00,160.00,280.00,200.00,"Barding is armor designed to protect an animals head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.

This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets."
"Barding, Spiked Armor",PHB,Tack-and-Harness,Armor,,Smiths-Tools,Blacksmith,City-Access,Metal,,Dye,90.00,24.00,192.00,48.00,72.00,144.00,96.00,240.00,420.00,300.00,"Barding is armor designed to protect an animals head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.

Spiked armor is a rare type of medium armor made by dwarves. It consists of a leather coat and leggings covered with spikes that are usually made of metal."
"Barding, Splint",PHB,Tack-and-Harness,Armor,,Smiths-Tools,Blacksmith,Premium-Access,Metal,,Dye,120.00,64.00,512.00,128.00,192.00,384.00,256.00,640.00,"1,120.00",800.00,"Barding is armor designed to protect an animals head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.

This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints."
"Barding, Studded Leather",PHB,Tack-and-Harness,Armor,,Leatherworkers-Tools,Leatherworker,City-Access,"Hide, Textile",Metal,Dye,26.00,14.40,115.20,28.80,43.20,86.40,57.60,144.00,252.00,180.00,"Barding is armor designed to protect an animals head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.

Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes."
Playing Card Set,PHB,Tools,Gaming-Set,,Painters-Supplies,General-Store,All-Access,"Bone, Textile, Wood",Dye,"Gem, Metal, Mineral",-,0.04,0.32,0.08,0.12,0.24,0.16,0.40,0.70,0.50,"If you are proficient with a gaming set, you can add your proficiency bonus to ability checks you make to play a game with that set."
Three-Dragon Ante Set,PHB,Tools,Gaming-Set,,Painters-Supplies,General-Store,All-Access,"Bone, Textile, Wood",Dye,"Gem, Metal, Mineral",-,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,"If you are proficient with a gaming set, you can add your proficiency bonus to ability checks you make to play a game with that set."
Adamantine Ammo (10),HB,Weapon,Ammunition,,Smiths-Tools,Blacksmith,Premium-Access,Adamantine,,,1.00,200.00,"1,600.00",400.00,600.00,"1,200.00",800.00,"1,920.00","3,360.00","2,400.00","Ammunition made of or coated with adamantine is unusually effective when used to break objects. Whenever a piece of adamantine ammunition hits an object, the hit is a critical hit. "
Arrows (20),PHB,Weapon,Ammunition,,Woodcarvers-Tools,Fletcher,All-Access,Wood,"Bone, Metal, Gem","Dye, Feather",1.00,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,"Arrows are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield."
Bone Ammo (10),HB,Weapon,Ammunition,,Woodcarvers-Tools,Fletcher,Special-Access,Bone,,,1.00,CR Value,CR Value,CR Value,CR Value,CR Value,CR Value,CR Value,CR Value,CR Value,"Bone arrows gain any damage benefits from CR value, otherwise act as normal ammunition"
Crossbow Bolts (20),PHB,Weapon,Ammunition,,Woodcarvers-Tools,Fletcher,All-Access,Wood,"Bone, Metal, Gem","Dye, Feather",1.50,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,"Crossbow bolts are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield."
Battleaxe,PHB,Weapon,Martial,Melee,Smiths-Tools,Blacksmith,Town-Access,"Metal, Wood",,"Dye, Gem, Hide, Textile",4.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,1d8 slashing; versatile (1d10)
Double-Bladed Scimitar,ERLW,Weapon,Martial,Melee,Smiths-Tools,Blacksmith,City-Access,"Metal, Wood",,"Dye, Gem, Hide, Textile",6.00,8.00,64.00,16.00,24.00,48.00,32.00,80.00,140.00,100.00,"2d4 slashing; two-handed, heavy

Special. If you attack with a double-bladed scimitar as part of the Attack action on your turn, you can use a bonus action immediately after to make a melee attack with it. This attack deals 1d4 slashing damage on a hit, instead of 2d4."
Flail,PHB,Weapon,Martial,Melee,Smiths-Tools,Blacksmith,Town-Access,Metal,Wood,"Dye, Gem, Hide, Textile",2.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,1d8 bludgeoning
Glaive,PHB,Weapon,Martial,Melee,Smiths-Tools,Blacksmith,Town-Access,Metal,Wood,"Dye, Gem",6.00,1.60,12.80,3.20,4.80,9.60,6.40,16.00,28.00,20.00,"1d10 slashing; heavy, reach, two-handed"
Greataxe,PHB,Weapon,Martial,Melee,Smiths-Tools,Blacksmith,Town-Access,Metal,Wood,"Dye, Gem, Hide, Textile",7.00,2.40,19.20,4.80,7.20,14.40,9.60,24.00,42.00,30.00,"1d12 slashing; heavy, two-handed"
Greatsword,PHB,Weapon,Martial,Melee,Smiths-Tools,Blacksmith,Town-Access,Metal,,"Dye, Gem, Hide, Textile",6.00,4.00,32.00,8.00,12.00,24.00,16.00,40.00,70.00,50.00,"2d6 slashing; heavy, two-handed"
Halberd,PHB,Weapon,Martial,Melee,Smiths-Tools,Blacksmith,Town-Access,Metal,Wood,"Dye, Gem",6.00,1.60,12.80,3.20,4.80,9.60,6.40,16.00,28.00,20.00,"1d10 slashing; heavy, reach, two-handed"
Hooked Shortspear,HB,Weapon,Martial,Melee,Smiths-Tools,Blacksmith,Town-Access,Wood,Metal,,2.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,"On a hit with this weapon, the wielder can forgo dealing damage and attempt to trip the target, in which case the target must succeed on a Strength saving throw or fall prone. The DC is 8 + the wielders Strength modifier + the wielders proficiency bonus."
Lance,PHB,Weapon,Martial,Melee,Smiths-Tools,Blacksmith,Town-Access,"Wood, Metal",Metal,"Bone, Dye, Gem, Mineral",6.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,"1d12 piercing; reach 
special: You have disadvantage when you use a lance to attack a target within 5 feet of you. Also, a lance requires two hands to wield when you aren’t mounted."
Longsword,PHB,Weapon,Martial,Melee,Smiths-Tools,Blacksmith,Town-Access,Metal,,"Dye, Gem, Hide, Textile",3.00,1.20,9.60,2.40,3.60,7.20,4.80,12.00,21.00,15.00,1d8 slashing; versatile (1d10)
Maul,PHB,Weapon,Martial,Melee,Smiths-Tools,Blacksmith,Town-Access,"Metal, Wood, Bone",,"Dye, Gem, Hide, Textile",10.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,"2d6 bludgeoning; heavy, two-handed"
Morningstar,PHB,Weapon,Martial,Melee,Smiths-Tools,Blacksmith,Town-Access,"Metal, Wood, Bone",,"Dye, Gem, Hide, Textile",4.00,1.20,9.60,2.40,3.60,7.20,4.80,12.00,21.00,15.00,1d8 piercing
Pike,PHB,Weapon,Martial,Melee,Smiths-Tools,Blacksmith,All-Access,Wood,"Bone, Metal","Dye, Gem, Mineral",18.00,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,"1d10 piercing; heavy, reach, two-handed"
Rapier,PHB,Weapon,Martial,Melee,Smiths-Tools,Blacksmith,Town-Access,Metal,,"Dye, Gem, Hide, Textile",2.00,2.00,16.00,4.00,6.00,12.00,8.00,20.00,35.00,25.00,1d8 piercing; finesse
Scimitar,PHB,Weapon,Martial,Melee,Smiths-Tools,Blacksmith,Town-Access,Metal,,"Dye, Gem, Hide, Textile",3.00,2.00,16.00,4.00,6.00,12.00,8.00,20.00,35.00,25.00,"1d6 slashing; finesse, light"
Shortsword,PHB,Weapon,Martial,Melee,Smiths-Tools,Blacksmith,Town-Access,Metal,,"Dye, Gem, Hide, Textile",2.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,"1d6 piercing; finesse, light"
Spiked chain,GoDC,Weapon,Martial,Melee,Smiths-Tools,Blacksmith,Town-Access,Metal,,"Dye, Gem, Hide, Textile",12.00,1.20,9.60,2.40,3.60,7.20,4.80,12.00,21.00,15.00,"1d8 piercing; reach, two-handed, finesse"
Spiked Shield,GoDC,Weapon,Martial,Melee,Smiths-Tools,Blacksmith,Town-Access,Metal,,"Dye, Gem, Hide, Textile",6.00,0.64,5.12,1.28,1.92,3.84,2.56,6.40,11.20,8.00,"1d4 piercing; light, special
Special: also counts as a shield adding the normal +2 bonus to AC"
Trident,PHB,Weapon,Martial,Melee,Smiths-Tools,Blacksmith,All-Access,Metal,Wood,"Dye, Gem, Mineral",4.00,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,"1d6 piercing; thrown (20/60), versatile (1d8)"
War Pick,PHB,Weapon,Martial,Melee,Smiths-Tools,Blacksmith,All-Access,Wood,Metal,"Dye, Gem, Leather, Textile",2.00,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,1d8 piercing
Warhammer,PHB,Weapon,Martial,Melee,Smiths-Tools,Blacksmith,Town-Access,Metal,Wood,"Dye, Gem, Hide, Textile",2.00,1.20,9.60,2.40,3.60,7.20,4.80,12.00,21.00,15.00,1d8 bludgeoning; versatile (1d10)
Whip,PHB,Weapon,Martial,Melee,Leatherworkers-Tools,Leatherworker,All-Access,Hide,,"Dye, Gem, Textile",3.00,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,"1d4 slashing; finesse, reach"
Blowgun,PHB,Weapon,Martial,Ranged,Woodcarvers-Tools,Fletcher,Town-Access,"Wood, Metal",,"Dye, Leather, Textile",1.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,"1 piercing; ammunition (25/100), loading"
Bolas,GoDC,Weapon,Martial,Ranged,Leatherworkers-Tools,Leatherworker,All-Access,Wood,"Earthenware, Metal, Bone",,3.00,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,"1 bludgeoning; special, thrown (30/90)
Special: A large or smaller creature hit by a bolas must succeed on a DC 10 dexterity saving throw or be restrained by it. A creature can break free by using its action to make a DC 10 strength check or dealing 5 slashing damage to the bolas."
Longbow,PHB,Weapon,Martial,Ranged,Woodcarvers-Tools,Fletcher,Town-Access,"Bone, Wood",Flesh,Dye,2.00,4.00,32.00,8.00,12.00,24.00,16.00,40.00,70.00,50.00,"1d8 piercing; ammunition (150/600), heavy, two-handed"
Net,PHB,Weapon,Martial,Ranged,Weavers-Tools,Tailor,All-Access,Textile,,Dye,3.00,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,"special, thrown (5/15)
Special: A Large or smaller creature hit by a net is restrained until it is freed. A net has no effect on creatures that are form less, or creatures that are Huge or larger. A creature can use its action to make a DC 10 Strength check, freeing itself or another creature within its reach on a success. Dealing 5 slashing damage to the net (AC 10) also frees the creature without harming it, ending the effect and destroying the net.W hen you use an action, bonus action, or reaction to attack with a net, you can make only one attack regardless of the number of attacks you can normally make"
Dagger,PHB,Weapon,Simple,Melee,Smiths-Tools,Blacksmith,All-Access,Metal,Wood,"Dye, Gem, Hide, Textile",1.00,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,"1d4 piercing; finesse, light, thrown (20/60)"
Gauntlet,GoDC,Weapon,Simple,Melee,Smiths-Tools,Blacksmith,All-Access,Metal,,"Dye, Gem, Hide, Textile",1.00,0.08,0.64,0.16,0.24,,0.32,0.80,1.40,1.00,1d4 bludgeoning; light
Handaxe,PHB,Weapon,Simple,Melee,Smiths-Tools,Blacksmith,All-Access,Wood,Metal,"Dye, Gem, Leather, Textile",2.00,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,"1d6 slashing; light, thrown (20/60)"
Javelin,PHB,Weapon,Simple,Melee,Smiths-Tools,Blacksmith,All-Access,Wood,Metal,"Dye, Gem",2.00,0.04,0.32,0.08,0.12,0.24,0.16,0.40,0.70,0.50,1d6 piercing; thrown (30/120)
Light Hammer,PHB,Weapon,Simple,Melee,Smiths-Tools,Blacksmith,All-Access,Wood,Metal,"Dye, Gem, Leather, Textile",2.00,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,"1d4 bludgeoning; light, thrown (20/60)"
Mace,PHB,Weapon,Simple,Melee,Smiths-Tools,Blacksmith,All-Access,Metal,,"Dye, Gem, Hide, Textile",4.00,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,1d6 bludgeoning
Sickle,PHB,Weapon,Simple,Melee,Smiths-Tools,Blacksmith,All-Access,Metal,,"Dye, Gem, Hide, Textile",2.00,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,1d4 slashing; light
Spear,PHB,Weapon,Simple,Melee,Smiths-Tools,Blacksmith,All-Access,Wood,Metal,"Dye, Gem",3.00,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,1d6 piercing; thrown (20/60) versatile (1d8)
"Crossbow, Light",PHB,Weapon,Simple,Ranged,Tinkers-Tools,General-Store,Town-Access,"Metal, Wood","Flesh, Textile","Dye, Gem, Mineral",5.00,2.00,16.00,4.00,6.00,12.00,8.00,20.00,35.00,25.00,"1d8 piercing; ammunition (80/320), loading, two-handed"
Dart,PHB,Weapon,Simple,Ranged,Smiths-Tools,Blacksmith,All-Access,Metal,,Dye,0.25,0.00,0.03,0.01,0.01,0.02,0.02,0.04,0.07,0.05,"1d4 piercing; finesse, thrown (20/60)"
Shortbow,PHB,Weapon,Simple,Ranged,Woodcarvers-Tools,Fletcher,Town-Access,Wood,"Flesh, Textile","Dye, Bone",2.00,2.00,16.00,4.00,6.00,12.00,8.00,20.00,35.00,25.00,"1d6 piercing; ammunition (80/320), two-handed"
Sling,PHB,Weapon,Simple,Ranged,Leatherworkers-Tools,Leatherworker,All-Access,Hide,,Dye,-,0.01,0.06,0.02,0.02,0.05,0.03,0.08,0.14,0.10,1d4 bludgeoning; ammunition (30/120)
Adamantine Weapon,HB,Weapon,Custom,Melee,Smiths-Tools,Blacksmith,Premium-Access,Adamantine,,,-,200.00,"1,600.00",400.00,600.00,"1,200.00",800.00,"1,920.00","3,360.00","2,400.00","Melee weapons made of or coated with adamantine are unusually effective when used to break objects. Whenever an adamantine weapon hits an object, the hit is a critical hit."
Bone Weapon,HB,Weapon,Custom,Melee,Leatherworkers-Tools,Leatherworker,Special-Access,Bone,"Wood, Bone","Leather, Textile, Gem,",-,CR Value,CR Value,CR Value,CR Value,CR Value,CR Value,CR Value,CR Value,CR Value,"While weilding a bone weapon you have +2 to all intimidation checks, and all attacks that deal slashing damage with this weapon becomes bludgeoning."
Mithral Weapon,HB,Weapon,Custom,Melee,Smiths-Tools,Blacksmith,City-Access,Mithral,"Wood, Bone","Leather, Textile, Gem,",half weight,20.00,160.00,40.00,60.00,120.00,80.00,192.00,336.00,240.00,"An item made from mithral weighs half as much as the same item made from other metals. If the weapon isn’t Heavy, it becomes Light. If it is already listed as Light it gains the Finesse property. If the weapon is Two-Handed it is now instead Versatile. 
Mithral ammunition it too light to be effective.
Mithral is too light to effectively make heavy weapons."
Orichalcum Weapon,HB,Weapon,Custom,Melee,Smiths-Tools,Blacksmith,City-Access,Orichalcum,"Wood, Bone","Leather, Textile, Gem,",-,20.00,160.00,40.00,60.00,120.00,80.00,192.00,336.00,240.00,"Orichalcum weapons lose all Light and Finesse properties.  A Orichalcum weapon grants a +2 bonus to hit against fey creatures. If the creature wielding it has a strength score of 15 or higher,  add +1 bonus to damage rolls."
Silvered Weapon,PHB,Weapon,Custom,Melee,Smiths-Tools,Blacksmith,City-Access,Metal,,,-,8.00,64.00,16.00,24.00,48.00,32.00,80.00,140.00,100.00,"Some monsters that have immunity or resistance to nonmagical weapons are susceptible to silver weapons, so cautious adventurers invest extra coin to plate their weapons with silver. You can silver a single weapon for 100 gp. This cost represents not only the price of the silver, but the time and expertise needed to add silver to the weapon without making it less effective."
Chicken,PHB,Livestock,Trade-Good,,Animal-Handling,Farm,All-Access,-,-,-,-,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,Livestock mainly reared for eggs and meat.
Cow,PHB,Livestock,Trade-Good,,Animal-Handling,Farm,Town-Access,-,-,-,-,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,"Livestock reared for milk, meat, and hide"
Goat,PHB,Livestock,Trade-Good,,Animal-Handling,Farm,All-Access,-,-,-,-,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,"Livestock reared for milk, meat, fur, and skins"
Ox,PHB,Livestock,Trade-Good,,Animal-Handling,Farm,Town-Access,-,-,-,-,1.20,9.60,2.40,3.60,7.20,4.80,12.00,21.00,15.00,"Generally used as  draft animals (used for plowing, for transport (pulling carts, hauling wagons and even riding), for threshing grain by trampling)"
Pig,PHB,Livestock,Trade-Good,,Animal-Handling,Farm,All-Access,-,-,-,-,0.24,1.92,0.48,0.72,1.44,0.96,2.40,4.20,3.00,"Livestock raised for meat, hide, or occasionally as trained foragers"
Sheep,PHB,Livestock,Trade-Good,,Animal-Handling,Farm,All-Access,-,-,-,-,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,"Livestock raised for wool, meat (mutton/lamb), and milk"
Bowstring (5),HB,Gear,Travelers,,Weavers-Tools,Fletcher,All-Access,Textile,,,-,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,joins the two ends of the bow stave and launches the arrow; It takes a short rest to affix the string to a bow.
Quiver,PHB,Gear,Travelers,,Leatherworkers-Tools,Fletcher,All-Access,"Hide, Textile",,"Dye, Gem, Metal ,Mineral, Wax",1.00,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,an archers portable case for holding arrows. A quiver can hold up to 20 arrows.
Blowgun Needles (50),PHB,Weapon,Ammunition,,Smiths-Tools,Fletcher,All-Access,Metal,,,1.00,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,"Blowgun needles are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield."
Silvered Ammunition (10),PHB,Weapon,Ammunition,,Smiths-Tools,Fletcher,City-Access,Metal,,,1.00,8.00,64.00,16.00,24.00,48.00,32.00,80.00,140.00,100.00,"Some monsters that have immunity or resistance to nonmagical weapons are susceptible to silver ammunition, so cautious adventurers invest extra coin to plate their ammunition in silver. You can silver ten pieces of ammunition for 100 gp. This cost represents not only the price of the silver, but the time and expertise needed to add silver to the ammunition without making it less effective."
Sling Bullets (20),PHB,Weapon,Ammunition,,Smiths-Tools,Fletcher,All-Access,"Metal, Mineral",,,1.50,0.00,0.03,0.01,0.01,0.02,0.01,0.03,0.06,0.04,"Sling bullets are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield."
"Crossbow, Hand",PHB,Weapon,Martial,Ranged,Tinkers-Tools,Fletcher,City-Access,"Metal, Wood","Flesh, Textile","Dye, Gem, Mineral",3.00,6.00,48.00,12.00,18.00,36.00,24.00,60.00,105.00,75.00,"1d6 piercing; ammunition (30/120), light, loading"
"Crossbow, Heavy",PHB,Weapon,Martial,Ranged,Tinkers-Tools,Fletcher,Town-Access,"Metal, Wood","Flesh, Textile","Dye, Gem, Mineral",18.00,4.00,32.00,8.00,12.00,24.00,16.00,40.00,70.00,50.00,"1d10 piercing; ammunition (100/400), heavy, loading, two-handed"
Greatbow,HB,Weapon,Martial,Ranged,Woodcarvers-Tools,Fletcher,City-Access,"Metal, Wood","Flesh, Textile","Dye, Gem, Mineral",25.00,8.00,64.00,16.00,24.00,48.00,32.00,80.00,140.00,100.00,"2d6 piercing; ammunition (280/1,120), oversized, two-handed

This unique weapon has a Strength requirement of 18 or higher. The bow shoots oversized arrows that deal piercing damage equal to 2d6 + the wielders Strength modifier.

Oversized. Creatures that are Medium have disadvantage on attack rolls with oversized weapons; small or tiny creatures cannot use an oversized weapon. An oversized weapons size and bulk make it too large for a Medium creature to use effectively."
Backpack,PHB,Gear,Travelers,,Leatherworkers-Tools,General-Store,All-Access,"Hide, Textile",,"Bone, Dye, Gem ,Metal, Mineral",5.00,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,"A backpack can hold one cubic foot or 30 pounds of gear. You can also strap items, such as a bedroll or a coil of rope, to the outside of a backpack."
Barrel,PHB,Gear,Travelers,,Woodcarvers-Tools,General-Store,All-Access,"Metal, Wood",,Dye,70.00,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,A barrel can hold 40 gallons of liquid or 4 cubic feet of solids.
Bucket,PHB,Gear,Travelers,,Woodcarvers-Tools,General-Store,All-Access,"Textile, Wood",,Dye,2.00,0.00,0.03,0.01,0.01,0.02,0.02,0.04,0.07,0.05,A bucket holds 3 gallons of liquid or ½ cubic foot of solids.
Chest,PHB,Gear,Travelers,,Carpenters-Tools,General-Store,All-Access,Wood,Metal,"Dye, Gem, Hide, Textile",25.00,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,A chest holds 12 cubic feet or 300 pounds of gear.
Ladder (10-foot),PHB,Gear,Travelers,,Carpenters-Tools,General-Store,All-Access,Wood,Textile,Dye,25.00,0.01,0.06,0.02,0.02,0.05,0.03,0.08,0.14,0.10,"a structure consisting of a series of bars or steps between two upright lengths of wood, metal, or rope, used for climbing up or down something."
Pole (10-foot),PHB,Gear,Travelers,,Woodcarvers-Tools,General-Store,All-Access,Wood,,"Dye, Gem, Metal, Textile",7.00,0.00,0.03,0.01,0.01,0.02,0.02,0.04,0.07,0.05,"a long, slender, rounded piece of wood or metal, typically used with one end placed in the ground as a support for something."
Pouch,PHB,Gear,Travelers,,Leatherworkers-Tools,General-Store,All-Access,"Hide, Textile",,"Dye, Gem, Metal ,Mineral, Wax",1.00,0.04,0.32,0.08,0.12,0.24,0.16,0.40,0.70,0.50,"A cloth or leather pouch can hold up to 20 sling bullets or 50 blowgun needles, among other things. A compartmentalized pouch for holding spell components is called a component pouch. A pouch can hold up to ⅕ cubic foot or 6 pounds of gear."
"Ram, Portable",PHB,Gear,Travelers,,Carpenters-Tools,General-Store,All-Access,Wood,,"Dye, Gem, Metal, Textile",35.00,0.32,2.56,0.64,0.96,1.92,1.28,3.20,5.60,4.00,"You can use a portable ram to break down doors. When doing so, you gain a +4 bonus on the Strength check. One other character can help you use the ram, giving you advantage on this check."
Rations (1 day),PHB,Gear,Travelers,,Cooks-Utensils,General-Store,All-Access,"Flesh, Plant",,Spice,2.00,0.04,0.32,0.08,0.12,0.24,0.16,0.40,0.70,0.50,"Rations consist of dry foods suitable for extended travel, including jerky, dried fruit, hardtack, and nuts."
Sack,PHB,Gear,Travelers,,Leatherworkers-Tools,General-Store,All-Access,"Hide, Textile",,"Dye, Gem, Metal ,Mineral, Wax",0.50,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,A sack can hold up to 1 cubic foot or 30 pounds of gear.
Soap,PHB,Gear,Travelers,,Alchemists-Supplies,General-Store,All-Access,Flesh,,,-,0.00,0.01,0.00,0.00,0.01,0.01,0.02,0.03,0.02,A commodity used for bathing.
Tinderbox,PHB,Gear,Travelers,,,General-Store,All-Access,"Metal, Earthenware, Wood",Wax,"Dye, Gem, Leather, Textile",1.00,0.04,0.32,0.08,0.12,0.24,0.16,0.40,0.70,0.50,"This small container holds flint, fire steel, and tinder (usually dry cloth soaked in light oil) used to kindle a fire. Using it to light a torch—or anything else with abundant, exposed fuel—takes an action. Lighting any other fire takes 1 minute."
Torch,PHB,Gear,Travelers,,Woodcarvers-Tools,General-Store,All-Access,"Textile, Wood",Oil,,1.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,"A torch burns for 1 hour, providing bright light in a 20-foot radius and dim light for an additional 20 feet. If you make a melee attack with a burning torch and hit, it deals 1 fire damage."
"Waterskin, full",PHB,Gear,Travelers,,Leatherworkers-Tools,General-Store,All-Access,"Flesh, Hide",,"Bone, Dye, Gem ,Metal, Mineral",5.00,0.02,0.13,0.03,0.05,0.10,0.06,0.16,0.28,0.20,A waterskin can hold up to 4 pints of liquid.
Alchemists Supplies,PHB,Tools,Artisans-Tools,,,General-Store,Town-Access,"Earthenware, Glass, Wax","Metal, Wood","Dye, Gem, Mineral, Plant",8.00,4.00,32.00,8.00,12.00,24.00,16.00,40.00,70.00,50.00,"Alchemists supplies enable a character to produce useful concoctions, such as acid or alchemists fire."
Brewers Supplies,PHB,Tools,Artisans-Tools,,,General-Store,Town-Access,"Earthenware, Glass, Wax, Wood",Metal,"Dye, Gem, Leather ,Mineral, Textile",9.00,1.60,12.80,3.20,4.80,9.60,6.40,16.00,28.00,20.00,"Brewing is the art of producing beer. Not only does beer serve as an alcoholic beverage, but the process of brewing purifies water."
Calligraphers Supplies,PHB,Tools,Artisans-Tools,,,General-Store,Town-Access,"Earthenware, Glass, Wax","Dye, Mineral","Dye, Gem, Metal, Perfume",5.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,"Calligraphy treats writing as a delicate, beautiful art. Calligraphers produce text that is pleasing to the eye, using a style that is difficult to forge. Their supplies also give them some ability to examine scripts and determine if they are legitimate, since a calligraphers training involves long hours of studying writing and attempting to replicate its style and design."
Carpenters Tools,PHB,Tools,Artisans-Tools,,,General-Store,Town-Access,"Bone, Metal, Mineral","Textile, Wood, Wax","Dye, Gem, Leather",6.00,0.64,5.12,1.28,1.92,3.84,2.56,6.40,11.20,8.00,"Skill at carpentry enables a character to construct wooden structures. A carpenter can build a house, a shack, a wooden cabinet, or similar items."
Cartographers Tools,PHB,Tools,Artisans-Tools,,,General-Store,Town-Access,"Earthenware, Glass, Wax","Dye, Mineral","Gem, Metal, Perfume",6.00,1.20,9.60,2.40,3.60,7.20,4.80,12.00,21.00,15.00,"Using cartographers tools, you can create accurate maps to make travel easier for yourself and those who come after you. These maps can range from large-scale depictions of mountain ranges to diagrams that show the layout of a dungeon level."
Cobblers Tools,PHB,Tools,Artisans-Tools,,,General-Store,All-Access,"Bone, Wood","Dye, Leather, Textile, Wax","Gem, Metal, Mineral",5.00,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,"Although the cobblers trade might seem too humble for an adventurer, a good pair of boots will see a character across rugged wilderness and through deadly dungeons."
